Date,Open,High,Low,Close,Adj Close,Volume
19-10-2018,218059998,221.259.995,217.429.993,219.309.998,218.547.455,33078700
22-10-2018,219789993,223.360.001,218.940.002,220.649.994,219.882.782,28792100
23-10-2018,215830002,223.250.000,214.699.997,222.729.996,221.955.551,38767800
24-10-2018,222600006,224.229.996,214.539.993,215.089.996,214.342.117,40925500
25-10-2018,217710007,221.380.005,216.750.000,219.800.003,219.035.751,29855800
26-10-2018,215899994,220.190.002,212.669.998,216.300.003,215.547.913,47258400
29-10-2018,219190002,219.690.002,206.089.996,212.240.005,211.502.045,45935500
30-10-2018,211149994,215.179.993,209.270.004,213.300.003,212.558.350,36660000
31-10-2018,216880005,220.449.997,216.619.995,218.860.001,218.099.014,38358900
1-11-2018,219050003,222.360.001,216.809.998,222.220.001,221.447.327,58323200
2-11-2018,209550003,213.649.994,205.429.993,207.479.996,206.758.575,91328700
5-11-2018,204300003,204.389.999,198.169.998,201.589.996,200.889.053,66163700
6-11-2018,201919998,204.720.001,201.690.002,203.770.004,203.061.493,31882900
7-11-2018,205970001,210.059.998,204.130.005,209.949.997,209.219.986,33424400
8-11-2018,209979996,210.119.995,206.750.000,208.490.005,208.490.005,25362600
9-11-2018,205550003,206.009.995,202.250.000,204.470.001,204.470.001,34365800
12-11-2018,199000000,199.850.006,193.789.993,194.169.998,194.169.998,51135500
13-11-2018,191630005,197.179.993,191.449.997,192.229.996,192.229.996,46882900
14-11-2018,193899994,194.479.996,185.929.993,186.800.003,186.800.003,60801000
15-11-2018,188389999,191.970.001,186.899.994,191.410.004,191.410.004,46478800
16-11-2018,190500000,194.970.001,189.460.007,193.529.999,193.529.999,36208500
19-11-2018,190000000,190.699.997,186.139.999,186.649.994,186.649.994,18711368
